Name;New_Measure_24-04-2023;
Description;;
Measure-Intervall;00:00:00.0040000;
;;

Time SN:540273 (S30X):P1;SN:540273 (S30X):P1 bar;Time SN:540273 (S30X):TOB1;SN:540273 (S30X):TOB1 °C;
24.04.2023 22:35:12.987;0,0884412;24.04.2023 22:35:13.019;13,0300293;
24.04.2023 22:35:13.051;0,0889216;24.04.2023 22:35:13.083;13,0300293;
24.04.2023 22:35:13.115;0,0894388;24.04.2023 22:35:13.147;13,0300293;
24.04.2023 22:35:13.179;0,089886;24.04.2023 22:35:13.211;13,0300293;
24.04.2023 22:35:13.243;0,0903341;24.04.2023 22:35:13.275;13,0300293;
24.04.2023 22:35:13.307;0,0908277;24.04.2023 22:35:13.339;13,0300293;
24.04.2023 22:35:13.371;0,0912247;24.04.2023 22:35:13.410;13,0300293;
24.04.2023 22:35:13.435;0,0917393;24.04.2023 22:35:13.467;13,0300293;
24.04.2023 22:35:13.499;0,0922765;24.04.2023 22:35:13.531;13,0300293;
24.04.2023 22:35:13.563;0,0926831;24.04.2023 22:35:13.595;13,0300293;
24.04.2023 22:35:13.627;0,0930655;24.04.2023 22:35:13.659;13,0300293;
24.04.2023 22:35:13.691;0,0935641;24.04.2023 22:35:13.722;13,0300293;
24.04.2023 22:35:13.754;0,0939628;24.04.2023 22:35:13.786;13,0300293;
24.04.2023 22:35:13.829;0,0944938;24.04.2023 22:35:13.851;13,0300293;
24.04.2023 22:35:13.882;0,0950428;24.04.2023 22:35:13.914;13,0300293;
24.04.2023 22:35:13.946;0,0955083;24.04.2023 22:35:13.978;13,1003418;
24.04.2023 22:35:14.011;0,0959733;24.04.2023 22:35:14.042;13,1003418;
